Mature Market ERP +,0.0411,"Updated July 1, 2024",,,,
Changing this number will update all your country equity risk premiums.,,,,,,
,,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,GDP (in $ millions)
Malta,A2,0.007962050582692785,=$B$1+E116,0.01033511314097619,0.35,18125.564514266385
Martinique,NR,0,=$B$1+E117,0,0,NA
Mauritius,Baa3,0.020679214707827093,=$B$1+E118,0.026842585518924274,0.15,12948.726653810985
Mexico,Baa2,0.017914613811058765,=$B$1+E119,0.02325400456719643,0.3,1465854.0892864685
Monaco,NR,0,=$B$1+E120,0,0.24707349543413576,NA
Moldova,B3,0.061152971836515406,=$B$1+E121,0.0793794106522199,0.12,14508.333280423281
Mongolia,B3,0.061152971836515406,=$B$1+E122,0.0793794106522199,0.25,17146.471626396327
Montenegro,B1,0.04235368573849078,=$B$1+E123,0.05497706018047056,0.15,6229.8015807915735
Montserrat,Baa3,0.020679214707827093,=$B$1+E124,0.026842585518924274,0.2853,16199
Morocco,Ba1,0.023554399640466156,=$B$1+E125,0.030574709708721233,0.32,130912.55882983979
Mozambique,Caa2,0.08470737147698156,=$B$1+E126,0.10995412036094113,0.32,18406.835954669532
Myanmar,NR,0.08470737147698154,=$B$1+E127,0.10995412036094111,0.25,62263.46626373751
Namibia,B1,0.04235368573849078,=$B$1+E128,0.05497706018047056,0.32,12914.932655685012
Netherlands,Aaa,0,=$B$1+E129,0,0.258,1009398.7190330778
Netherlands Antilles,#N/A,#N/A,=$B$1+E130,#N/A,#N/A,NA
New Zealand,Aaa,0,=$B$1+E131,0,0.28,248101.70554139902
Nicaragua,B2,0.0517533287875031,=$B$1+E132,0.06717823541634524,0.3,15671.583939988886
Niger,Caa3,0.09410701452599389,=$B$1+E133,0.12215529559681582,0.2686,15342.278919400891
Nigeria,Caa1,0.07055261488552772,=$B$1+E134,0.09158058588809456,0.3,472624.5974028978
Norway,Aaa,0,=$B$1+E135,0,0.22,579422.4495102711
Oman,Ba1,0.023554399640466156,=$B$1+E136,0.030574709708721233,0.15,114667.36020806243
Pakistan,Caa3,0.09410701452599389,=$B$1+E137,0.12215529559681582,0.29,374697.366359244
Palestinian Authority,NR,0.016082653627874467,=$B$1+E138,0.06758999089248985,0.18760152153615242,NA
Panama,Baa3,0.020679214707827093,=$B$1+E139,0.026842585518924274,0.25,76522.5118
Papua New Guinea,B2,0.0517533287875031,=$B$1+E140,0.06717823541634524,0.3,31603.619041790265
Paraguay,Ba1,0.023554399640466156,=$B$1+E141,0.030574709708721233,0.1,41722.295229227944
Peru,Baa1,0.015039428878419702,=$B$1+E142,0.019521880377399468,0.295,242631.57332078982
Philippines,Baa2,0.017914613811058765,=$B$1+E143,0.02325400456719643,0.25,404284.3261104627
Poland,A2,0.007962050582692785,=$B$1+E144,0.01033511314097619,0.19,688125.0105205204
Portugal,A3,0.011279571658814777,=$B$1+E145,0.014641410283049603,0.21,255196.66098742705
Qatar,Aa2,0.00464452950657079,=$B$1+E146,0.006028815998902777,0.1,236258.30283965328
Ras Al Khaimah (Emirate of),A3,0.011279571658814777,=$B$1+E147,0.014641410283049603,0,11000
Reunion,NR,0.012518555898193178,=$B$1+E148,0.06280540500857855,0.2576437502455447,NA
Romania,Baa3,0.020679214707827093,=$B$1+E149,0.026842585518924274,0.16,300691.3548648547
Russia,NR,0.028309513182907673,=$B$1+E150,0.036747068945693115,0.2,2240422.427458579
Rwanda,B2,0.0517533287875031,=$B$1+E151,0.06717823541634524,0.3,13311.487445068627
Saint Lucia,NR,0.1054310997313879,=$B$1+E152,0.1875348819700155,0.2724561140242252,NA
Saudi Arabia,A1,0.006635042152243987,=$B$1+E153,0.008612594284146825,0.2,1108571.5172853814
Senegal,Ba3,0.03383871497644433,=$B$1+E154,0.0439242308491488,0.3,27684.264748232432
Serbia,Ba2,0.028309513182907677,=$B$1+E155,0.03674706894569312,0.15,63563.401043504426
Sharjah,Ba1,0.023554399640466156,=$B$1+E156,0.030574709708721233,0,24800
Sierra Leone,NR,0.08470737147698154,=$B$1+E157,0.10995412036094111,0.3,4094.5638594355637
