,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Entertainment,748,0.018,0.07450000000000001,0.156,-0.2334739803094233,0.001223443223443224,0.108656330749354,0.4675090252707581,1.018115942028986,2.45850007410701,0.08985827989162551,0.09774500675379778,0.1013551584775372,0.9596119782350816,0.001426533523537803,0.04773665335949658,0.2413793103448276,0.05105333080280888,0.2607937200174444
Environmental & Waste Services,391,0.0459,0.0916,0.192,-0.04222222222222222,0.0602655771195097,0.1416267942583732,0.396349177661305,1.01407379231647,2.214514096047217,0.08062411637343692,0.08529287688053072,0.08807580251707406,0.9371993670491123,0.0385241454150841,0.1856771585330638,0.4186351706036746,0.1798759476223294,0.3918840579710145
Farming/Agriculture,429,0.005739999999999999,0.0538,0.0944,-0.01142546245919478,0.06377649325626204,0.1445086705202312,0.5585725368502714,1.039967373572594,1.907006025721738,0.07378588484700468,0.08062949153356352,0.08856446240978157,0.7159066011577342,0.02283653846153846,0.171759234222054,0.4201680672268908,0.1963117595325861,0.4301220869697113
Financial Svcs. (Non-bank & Insurance),1117,0.04769999999999999,0.08900000000000001,0.167,0,0,0.158273381294964,0.09357060849598164,0.2302103250478011,0.7907010376369356,0.05617049085253012,0.06208798426029732,0.06515170324447403,0.7586099572242931,0.02014904775048303,0.2453962688321164,0.6401900095997881,0.2651596214555194,0.6133630430316536
Food Processing,1424,0.024,0.0592,0.119,0.01336505190311419,0.05523546830465789,0.1042693926638605,1.008557645744639,1.689924214882967,2.594607520774795,0.07528004514923227,0.08200679988452543,0.09050452661707573,0.6027635751507316,0.03976125792128923,0.1940765711533831,0.4367816091954023,0.186600058771672,0.4144678327898014
Food Wholesalers,188,0.012,0.0463,0.0636,0.004897796425042043,0.02397980647875473,0.04921700223713647,1.34393434213901,3.359986837775585,6.830716600878923,0.06856925381178691,0.07239088921648648,0.08227572287877415,0.5466218678462207,0.02766476810414972,0.1841498048832026,0.3972366148531951,0.2057237660721692,0.4149102987877452
Furn/Home Furnishings,380,0.009360000000000002,0.0613,0.126,-0.0008040935672514619,0.05095367847411444,0.1005540166204986,1.044223199814772,1.529232527137688,2.395681764843933,0.09177153609912532,0.0947312274827297,0.1097763633042348,0.8862653945944315,0.02390074803867907,0.1435537945748247,0.3495934959349593,0.1353670162059104,0.3419068178480217
Green & Renewable Energy,260,0.0114,0.08220000000000001,0.199,-0.01313904406286595,0.2006605258964922,0.3992055610724926,0.1228305600286277,0.1982796072638804,0.3817610062893081,0.07095630130843826,0.0797618728434028,0.08776503783966126,0.8555765461747501,0.09142212189616253,0.4145804470738009,0.5903128153380424,0.3509316770186335,0.5596026490066225
Healthcare Products,850,0.0608,0.138,0.279,-0.7735913218748358,-0.005343283582089552,0.1272923408845739,0.498297642154835,0.9425435765009684,1.520953629410672,0.09056989857420612,0.09615781762806723,0.09986843339003557,1.051104953276581,0.006761732610296578,0.0699885888170407,0.2070910556003223,0.05722857251357612,0.1807511737089202
Healthcare Support Services,480,0.0412,0.08220000000000001,0.177,-0.03627739874100501,0.03353756524399612,0.09198089407649096,1.113636363636364,2.054631120653665,4.573629361123698,0.08092347756529628,0.08662510345051172,0.09149369529090003,0.7738585660804816,0.03044203502919099,0.1535674605009015,0.3841678658804301,0.1449073723056781,0.3641329710996463
Heathcare Information and Technology,435,0.0438,0.101,0.207,-0.8692307692307691,-0.0544426494345719,0.117816091954023,0.4921077065923863,0.9439658123069666,2.026924053848107,0.09601012633892697,0.1002772633056202,0.1065601304141733,1.20583652113588,0.00535253571566098,0.0511556489413286,0.1799450549450549,0.04266597149808829,0.1622699386503068
Homebuilding,165,0.0509,0.07519999999999999,0.142,0.02020706890396287,0.07511608850040974,0.1424206086085521,0.7996929541047189,1.370423174129998,2.385464581416743,0.08578922042131085,0.08917327246636429,0.09766792720836882,0.958419873088148,0.1405992756009219,0.3682413204325555,0.5939221906829187,0.3219512195121951,0.5981087470449173
Hospitals/Healthcare Facilities,245,0.0538,0.099,0.147,0.03713438845702142,0.1006655574043261,0.1708611539120014,0.7240865026099926,1.176470588235294,1.752728481832682,0.07025899675186452,0.07613434127233666,0.0863788850017013,0.6599291900480359,0.0365705982077985,0.1714697406340058,0.3957055214723926,0.1539429463692439,0.3725906564672215
Hotel/Gaming,660,0.0365,0.0791,0.151,-0.005426356589147287,0.09417582417582418,0.1988199458594803,0.265658747300216,0.5883310415393324,1.45124716553288,0.08104568360647274,0.086253113218549,0.09991847477145178,0.8448189556555283,0.02151612394129097,0.1962047004052888,0.4893917056598936,0.214228829307141,0.4977238239757207
Household Products,554,0.0178,0.0674,0.132,-0.02104838709677419,0.05615384615384615,0.126690080386041,0.804476430912996,1.500524658971669,2.492449664429531,0.07509751830440489,0.08044449730852361,0.0863297860033056,0.7762208004464943,0.005901748358316477,0.07760951865873444,0.2584745762711865,0.1096886819901076,0.2581050281408437
Information Services,85,0.0311,0.0595,0.128,0.03551841211804649,0.09261323544625956,0.1409657583443234,1.422937009381581,2.403743315508021,4.290544449337927,0.089945744845907,0.09950123747253915,0.1186627776648875,0.9699579285017491,0.009692372524230934,0.08699397071490095,0.2702273929138022,0.1065832553788588,0.2978148486736188
Insurance (General),199,0.0462,0.09699999999999999,0.171,0.04933712121212121,0.1011019283746556,0.1788247891848481,1.086439333862014,1.928316104724181,3.231505336768495,0.07610442145380067,0.07974385557987712,0.093560111260202,0.5189270159523364,0.0004089096001172722,0.04377880184331797,0.2176983173076923,0.06206252916472236,0.2705702257941064
