Mature Market ERP +,0.0433,"Updated January 1, 2025",,,
Changing this number will update all your country equity risk premiums.,,,,,
,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate
Nepal,Ba3,0.035619699975204554,=$B$1+E129,0.048020782631020255,0.25
Netherlands,Aaa,0,=$B$1+E130,0,0.258
Netherlands Antilles,NR,0.06012263625836532,=$B$1+E131,0.08105447404039451,0.25228018689443577
New Zealand,Aaa,0,=$B$1+E132,0,0.28
Nicaragua,B2,0.05447718819737168,=$B$1+E133,0.07344354990626628,0.3
Niger,Caa3,0.09906001529051987,=$B$1+E134,0.13354799352613805,0.2686
Nigeria,Caa1,0.07426591040581865,=$B$1+E135,0.10012176247905531,0.3
Norway,Aaa,0,=$B$1+E136,0,0.22
Oman,Ba1,0.024794104884701216,=$B$1+E137,0.03342623104708274,0.15
Pakistan,Caa2,0.08916565418629636,=$B$1+E138,0.12020888723974354,0.29
Palestinian Authority,NR,0.175,=$B$1+E139,0.23592666323069683,0.17
Panama,Baa3,0.021767594429291676,=$B$1+E140,0.029346033830067942,0.25
Papua New Guinea,B2,0.05447718819737168,=$B$1+E141,0.07344354990626628,0.3
Paraguay,Baa3,0.021767594429291676,=$B$1+E142,0.029346033830067942,0.1
Peru,Baa1,0.015830977766757577,=$B$1+E143,0.02134257005823122,0.295
Philippines,Baa2,0.01885748822216712,=$B$1+E144,0.025422767275246023,0.25
Poland,A2,0.00838110587651872,=$B$1+E145,0.011299007677887121,0.19
Portugal,A3,0.011873233325068186,=$B$1+E146,0.016006927543673423,0.21
Qatar,Aa2,0.0048889784279692525,=$B$1+E147,0.006591087812100819,0.1
Ras Al Khaimah (Emirate of),A3,0.011873233325068186,=$B$1+E148,0.016006927543673423,0
Reunion,NR,0.010708616059682126,=$B$1+E149,0.014436846027311188,0.2534417911673511
Romania,Baa3,0.021767594429291676,=$B$1+E150,0.029346033830067942,0.16
Russia,NR,0.029799487560955448,=$B$1+E151,0.04017424952137643,0.2
Rwanda,B2,0.05447718819737168,=$B$1+E152,0.07344354990626628,0.3
Saint Lucia,NR,0.06012263625836532,=$B$1+E153,0.08105447404039451,0.25228018689443577
Saudi Arabia,Aa3,0.005936616662534093,=$B$1+E154,0.008003463771836711,0.2
Senegal,B1,0.04458282709314818,=$B$1+E155,0.06010444361987177,0.3
Serbia,Ba2,0.029799487560955448,=$B$1+E156,0.04017424952137643,0.15
Sharjah,Ba1,0.024794104884701216,=$B$1+E157,0.03342623104708274,0
Sierra Leone,NR,0.08916565418629635,=$B$1+E158,0.1202088872397435,0
Singapore,Aaa,0,=$B$1+E159,0,0.17
Slovakia,A3,0.011873233325068186,=$B$1+E160,0.016006927543673423,0.21
Slovenia,A3,0.011873233325068186,=$B$1+E161,0.016006927543673423,0.19
Solomon Islands,Caa1,0.07426591040581865,=$B$1+E162,0.10012176247905531,0.3
Somalia,NR,0.09906001529051986,=$B$1+E163,0.13354799352613805,0.3
South Africa,Ba2,0.029799487560955448,=$B$1+E164,0.04017424952137643,0.27
South Korea,Aa2,0.0048889784279692525,=$B$1+E165,0.006591087812100819,0.25
Spain,Baa1,0.015830977766757577,=$B$1+E166,0.02134257005823122,0.25
Sri Lanka,Ca,0.11884873749896685,=$B$1+E167,0.1602262060989271,0.24
St. Maarten,Ba2,0.029799487560955448,=$B$1+E168,0.04017424952137643,0.2853
St. Vincent & the Grenadines,B3,0.06437154930159515,=$B$1+E169,0.0867826561926608,0.2853
Sudan,NR,0.175,=$B$1+E170,0.23592666323069683,0.2853
Suriname,Caa1,0.07426591040581865,=$B$1+E171,0.10012176247905531,0.36
Swaziland,B2,0.05447718819737168,=$B$1+E172,0.07344354990626628,0.275
Sweden,Aaa,0,=$B$1+E173,0,0.20600000000000002
Switzerland,Aaa,0,=$B$1+E174,0,0.146
Syria,NR,0.175,=$B$1+E175,0.23592666323069683,0.146
