,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Entertainment,741,-0.0281,0.102,0.272,-0.2458333333333333,0.01021155410903173,0.1103174603174603,0.4651369619352543,1.076760934480942,2.535110750447987,0.08614980063257772,0.09445105414262434,0.09819853975156889,0.5179071021794708,1.023460922346831,1.662298313749064,0.001786529726092147,0.05105333080280888,0.2607937200174444
Environmental & Waste Services,383,-0.00184,0.0964,0.208,-0.06797119384619679,0.05649484536082474,0.1362150381402107,0.3835955453420541,1.000908815510451,2.297103527387439,0.07579559707108771,0.08136865051154611,0.08376018136982952,0.4993375462559688,0.8926869790372804,1.322624327235297,0.03068736537585215,0.1798759476223294,0.3918840579710145
Farming/Agriculture,430,0.04940000000000001,0.137,0.223,-0.01596491228070175,0.05404692855259689,0.127881636411191,0.4794372294372294,0.9507389162561576,1.805121507533001,0.06887448554733712,0.0757895203641493,0.08480492943412227,0.2628207663690826,0.691037878605737,1.243845980013343,0.01934366278510249,0.1963117595325861,0.4301220869697113
Financial Svcs. (Non-bank & Insurance),1258,0.00138,0.108,0.238,0,0,0.1426094495015171,0.09444193402620875,0.2496376228056048,1.026677660451632,0.05015195025444996,0.05456843268853141,0.06059011091197702,0.3561613360222687,0.8489303381625015,1.391376473162,0.02086214845550945,0.2651596214555194,0.6133630430316536
Food Processing,1657,0.0252,0.0867,0.169,0.008142059553349876,0.05012266243591439,0.09924812030075188,0.9414225941422594,1.543430886748959,2.356118143459916,0.07125676511630759,0.07639847689339438,0.0870203968615834,0.2746399106884778,0.6492798789831261,1.093717007396882,0.0413775379079928,0.186600058771672,0.4144678327898014
Food Wholesalers,173,0.0147,0.0776,0.213,0.006541935483870968,0.0247953216374269,0.05018383538669935,1.34020618556701,3.291623987342436,6.584078711985689,0.06443677801173839,0.06720563593750756,0.07821726869094134,0.207481014179219,0.6544334014781269,1.204033532104038,0.02301037623360479,0.2057237660721692,0.4149102987877452
Furn/Home Furnishings,383,-0.014,0.0676,0.153,0,0.05428226779252111,0.09481282114020063,1.031948881789137,1.529366504231854,2.284343265260573,0.08833212571343328,0.09111418853645295,0.1069540805552981,0.4736518087854164,0.8969749608616471,1.431835041324249,0.02645502645502645,0.1353670162059104,0.3419068178480217
Green & Renewable Energy,253,0.0213,0.148,0.37,0.03963133640552995,0.2303078768492603,0.4387047031611411,0.1288690834638083,0.21162050518047,0.417514534883721,0.06686868560646486,0.0713515315562443,0.08397148720883504,0.3395022706532055,0.8869557532952093,1.325977359079805,0.1198428290766208,0.3509316770186335,0.5596026490066225
Healthcare Products,849,0.0186,0.11,0.231,-0.9327389618567661,0,0.1396070320579111,0.5139240506329116,0.9592061742006615,1.59846547314578,0.08635256623146172,0.09220712926803723,0.09671659712063349,0.6345997594353269,1.022950940395206,1.522616198279213,0.006670383908473246,0.05722857251357612,0.1807511737089202
Healthcare Support Services,463,0.0329,0.0983,0.206,-0.05046728971962618,0.03628099173553719,0.09193408499566348,1.019607843137255,1.991818181818182,4.403427818061964,0.07639012358270988,0.0831012221393996,0.08528839638974034,0.4404301273652743,0.7812420315124222,1.348974835561798,0.02626854389114618,0.1449073723056781,0.3641329710996463
Heathcare Information and Technology,443,0.0421,0.136,0.286,-0.8819425003288887,-0.09302621258147822,0.1132183908045977,0.4816417212347989,1.064476885644769,2.295981231695751,0.09218717236217229,0.0930990572848957,0.1030989299881405,0.7727967597261343,1.151970976712207,1.703655728528231,0.004026654313508891,0.04266597149808829,0.1622699386503068
Homebuilding,173,0.0281,0.0916,0.172,0.02492248062015504,0.07995124923826935,0.1476487443114782,0.7688191223688906,1.312175204157387,2.429299200308772,0.08226064164006815,0.08700336473116593,0.09315638205973228,0.6534006796804992,1.049749698895646,1.502037421047796,0.1223878645828686,0.3219512195121951,0.5981087470449173
Hospitals/Healthcare Facilities,232,0.0609,0.126,0.209,0.03757700205338809,0.09552845528455284,0.1726618705035971,0.6656414762741653,1.149311531841652,1.756732891832229,0.06514910494885043,0.07098673546178008,0.0829413426593493,0.3335281963627414,0.7757983755317827,1.18514802784923,0.03009511928894433,0.1539429463692439,0.3725906564672215
Hotel/Gaming,650,0.0573,0.181,0.311,-0.05937136204889405,0.06487455197132617,0.1750748182984181,0.2058252427184466,0.4986603075933765,1.162643051327549,0.0767629476293663,0.08161531879717371,0.09709191019443077,0.3614314945730799,0.9005309871503696,1.495777506943897,0.02789284727975697,0.214228829307141,0.4977238239757207
Household Products,178,-0.0165,0.0453,0.139,-0.01415525114155251,0.05130168453292497,0.1116564417177914,0.8974097491331837,1.511458180225307,2.355996587943538,0.07441245466869095,0.07676096464060375,0.09165242937667575,0.3073668271172179,0.6653142532759653,1.205817471440652,0.01144857041167398,0.1096886819901076,0.2581050281408437
Information Services,81,0.00825,0.07090000000000002,0.154,0.01992347275366143,0.08222996515679443,0.1281842818428184,1.282051282051282,2.343039126478617,4.033083370092633,0.08700663139659845,0.09582047517351798,0.1169148293587137,0.5679741849811997,1.094170919644543,1.615914241006029,0.006459088860754061,0.1065832553788588,0.2978148486736188
Insurance (General),202,0.0348,0.096,0.172,0.03931865605134691,0.08933161953727506,0.1762550384756321,1.012345679012346,1.735156293289297,3.280866721177433,0.07150919627494529,0.07497569087877776,0.09444948772189375,0.1807036048591203,0.6600810478222483,1.136062043869906,0.00134624056561853,0.06206252916472236,0.2705702257941064
Insurance (Life),137,-0.0236,0.0423,0.161,0.0001834150485030975,0.07731157962405208,0.1493212669683258,0.6518219120306374,1.520799233710021,3.392714570858283,0.07432040677157861,0.08192197659248544,0.1258564543253356,0.4278628859963649,0.8531242719845141,1.359199040499947,0.005882447745357575,0.0910092324605526,0.427281744363936
Insurance (Prop/Cas.),228,0.038,0.0858,0.176,0.04937965260545906,0.1196817148424813,0.1997607655502392,0.8204419889502762,1.505290124761073,2.819007006605832,0.06901070313049372,0.08229844230270678,0.1126480468436227,0.3628355151361401,0.6637958526182828,0.9877349137351419,0.0008665952999949025,0.03089834064466908,0.1547687035979441
Investments & Asset Management,1374,-0.029,0.114,0.3,-0.00133054808346924,0.1712412945514133,0.5777777777777778,0.007109660285492973,0.1260935143288084,0.6483436716378513,0.06227634483954853,0.06446771294108368,0.06875008421969271,0.1314166379182863,0.5879115554656339,1.176181355755747,0,0.009400720677596503,0.1041009463722397
Machinery,1492,0.036,0.101,0.188,0.01434352836649245,0.06972931757529546,0.1232188899443615,0.8493358633776091,1.305903398926655,2.037948971838876,0.0907609636688385,0.09533906784538246,0.09692006483049517,0.5975616522506249,1.015786908217617,1.462749661534659,0.01589833211734564,0.09326991556310313,0.2458333333333333
Metals & Mining,1815,0.0325,0.167,0.328,-9.61111111111111,-0.01529919802590993,0.07066432069998572,0,0,0.5530703538023587,0.08401048758680386,0.08407411582620361,0.08624456787165205,0.5594744857874498,1.044028472258659,1.537559909513236,0,0.003813376662134828,0.1134593993325917
Missing,17,,,,0,0.02116104868913857,0.02116104868913857,,,,,,,1.258030612019513,1.258030612019513,1.258030612019513,0,0,0
Office Equipment & Services,137,0.0209,0.061,0.136,0.008777372262773723,0.06088399527736977,0.09740670461733081,0.9243662955507168,1.580357933906264,2.485243055555556,0.07722896469767941,0.08154738204788964,0.09573993464624804,0.3483511264209298,0.7859973551387082,1.254445887584746,0.02326738832897847,0.105760780132343,0.3366779870330349
Oil/Gas (Integrated),36,0.154,0.213,0.282,0.06667398829369865,0.1334023831264111,0.2103549332464995,1.219214121148865,1.711156056252836,2.176585062079166,0.08162772120256655,0.08887414699212416,0.1120042531636969,0.5309154964964505,0.8969749608616471,1.340451132564019,0.140534262485482,0.2992817331685361,0.4267425320056899
Oil/Gas (Production and Exploration),590,0.08470000000000001,0.246,0.4379999999999999,-0.3180952380952381,0.1592156862745098,0.4059405940594059,0.06046313005210847,0.4722792607802874,0.8853117851112685,0.08238134470142476,0.08304365594530191,0.08978613864368458,0.5390729959110587,0.9976809475733847,1.546250814810917,0,0.08250559784674974,0.3440615388583619
Oil/Gas Distribution,174,0.0158,0.112,0.224,0.02072186836518047,0.1221023640119348,0.3126048540431719,0.3486269634987005,0.7125615525731389,1.661226273842405,0.06636544789309094,0.07353050970805466,0.08469475524370935,0.3743267524927403,0.8298620595680499,1.260792266906975,0.09906183604737906,0.3349514563106796,0.4731300696837039
Oilfield Svcs/Equip.,444,0.0254,0.156,0.274,-0.002202224952687693,0.04237895383355512,0.1028957528957529,0.7416743419458046,1.708389715832205,3.451514440009392,0.07525862229948913,0.08152189259495903,0.09458509655502631,0.4491816388545652,0.9668286408616179,1.462263964437873,0.05179077557330585,0.23349736237184,0.5015295330990963
Packaging & Container,164,0.0342,0.0775,0.141,0.03025936599423631,0.0674302757257227,0.1152317880794702,1.013722627737226,1.396004098360656,1.9075,0.07084668672720806,0.0748287877383905,0.08701250189438442,0.380349396492883,0.763735149597427,1.292949956498377,0.0627341157615627,0.2171394085697043,0.4521004491920656
Paper/Forest Products,266,0.0338,0.0986,0.186,-0.01255278310940499,0.03796095444685466,0.1082289803220036,0.5785837651122625,1.012721281324239,1.613570430858494,0.07173873119214594,0.0768247943549423,0.0905574703294697,0.4104869013484358,0.833869060616532,1.326560195595948,0.09432624113475178,0.2732919254658385,0.5063546130461853
Power,488,0.0654,0.127,0.207,0.04388979634228093,0.1018891875988386,0.2062461975258568,0.3990843189622281,0.6973451130291844,1.300993571011104,0.06077639154652098,0.06479648693081685,0.07577340547579547,0.3336496206369378,0.6483978432642004,1.057848276799258,0.1164069660861595,0.3868421052631579,0.5883763685811745
Precious Metals,853,0.00285,0.111,0.289,-3.8,-0.003787313432835821,0.1622807017543859,0,0,0.2451923076923077,0.08616658917032927,0.08641999811087574,0.08641999811087574,0.5797345063276523,1.040410168765752,1.546835077351937,0,0.004542379433652266,0.08717346639272086
Publishing & Newspapers,205,-0.0131,0.0447,0.109,-0.03220779220779221,0.0461427546077038,0.105830164765526,0.7086882453151618,1.439854191980559,2.88,0.08959226836890329,0.09389159837061532,0.111724733915199,0.4299147852198638,0.9108755561319086,1.429335001488834,0.004244205027750571,0.05970392061168049,0.3124888967845088
R.E.I.T.,633,0.0114,0.0698,0.174,0.1851258046809299,0.4988814317673378,0.66,0.05777435825697698,0.08094245872736015,0.1239614709873887,0.05948160984090209,0.06322497047164949,0.07360656708635427,0.4165338302034178,0.7917797040265699,1.151029223390879,0.2355478861087144,0.4142739680973524,0.5959334565619223
Real Estate (Development),884,-0.109,0.0476,0.239,-0.0729559748427673,0.08894736842105264,0.2043394671793463,0.1020055325034578,0.2415325303304219,0.5219885596117606,0.06337531121992672,0.06950869511198741,0.07422898783080406,0.428724827332739,0.9262277459139344,1.416268449372267,0.08516260162601626,0.4099531955432216,0.7240853658536586
Real Estate (General/Diversified),336,-0.0602,0.07100000000000001,0.207,0.005366795366795367,0.1397185032612427,0.3126414484319431,0.07679024885728795,0.1756111267209891,0.4452054794520547,0.06504057564192911,0.06847757083397459,0.07969349038164569,0.4327075435263816,0.906561620815254,1.347493740467411,0.09804351778879704,0.42452597882295,0.6352691218130312
Real Estate (Operations & Services),748,-0.0089,0.08560000000000001,0.217,0.03916400791529651,0.2488857414189335,0.5588652482269504,0.06206501762525986,0.114455884389861,0.4047052233580731,0.06369953793084188,0.0690173453829252,0.07600196729568975,0.2400072203766545,0.7532513259957963,1.387830461240445,0.01701032907115155,0.3230815467842116,0.5860375169212918
Recreation,326,0.0276,0.111,0.221,-0.01717171717171717,0.07328859060402684,0.1530249110320284,0.5923460898502496,1.152364273204904,2.039312039312039,0.08003937144051153,0.08583890903161522,0.08895766781233204,0.4924882135384958,1.021529975355817,1.443048586289892,0.03315358498102657,0.156282814140707,0.3943298969072165
Reinsurance,34,0.0391,0.0834,0.144,0.07748739110499772,0.1025648269789474,0.1572504708097928,0.8234192553425865,1.260978043912176,2.153775883069427,0.09794090329137616,0.1077752683169365,0.1195306722807915,0.6449328899668939,1.048547177395812,1.432393592985552,0.000073060088601962,0.152100714304619,0.2899927316218258
Restaurant/Dining,394,0.0179,0.0959,0.179,-0.01884905590244753,0.03440366972477064,0.08528751433811284,1.238805970149254,2.003274073190966,3.323983169705469,0.07764783886670062,0.08386510090539182,0.08631742108658244,0.4306930231827682,0.8048729439384256,1.382817332668571,0.0988143677755164,0.2356647763074984,0.4376
Retail (Automotive),204,0.039,0.117,0.205,0.0006964084785451448,0.02899824253075571,0.0567454363065216,1.509438359356793,2.522642823966558,4.593055065301801,0.07149466568881499,0.0768145140829028,0.09264042574340094,0.3987987313862636,0.8701506337464239,1.396339251109677,0.1118655948387362,0.368595825426945,0.6178806116033259
Retail (Building Supply),120,-0.00369,0.0528,0.11,0.01672473867595819,0.04151624548736462,0.112881473660064,1.293890538837104,1.937233265694072,3.722517058377559,0.08084781067662387,0.0885545270725753,0.1044138033791024,0.573292568191003,0.9935419811848315,1.563840635206271,0.1035856573705179,0.2986592589363452,0.5114114779525815
Retail (Distributors),1028,0.00586,0.08289999999999999,0.195,0,0.03586945975576612,0.08936651583710407,0.7239263803680981,1.830220713073005,3.384887777951362,0.06846876978254893,0.07229305000227058,0.08401475138409442,0.2858084566035461,0.7728005173009658,1.246639310452682,0.01728587850001084,0.1592482690405539,0.4309507286606523
Retail (General),256,-0.0776,0.0254,0.111,-0.00920282542885974,0.03918382990071161,0.0869245322682363,0.6920122887864822,1.828811105749601,3.347373531925317,0.08298676092872442,0.08936219631622466,0.092882864533666,0.5410665658192717,0.928038329488805,1.405315979839749,0.0881511746680286,0.2651075206691564,0.5706764938141616
Retail (Grocery and Food),201,-0.00183,0.0482,0.117,0.01449814126394052,0.03219404698305136,0.04979759698765825,2.231317522786168,3.201465201465202,4.693829486575601,0.06576515271101267,0.0679152189118815,0.07313272309941773,0.3296063709452022,0.5640582357927003,0.9096620925699408,0.1104667026734389,0.290221554273525,0.4446999180973247
Retail (REITs),123,0.0135,0.0532,0.12,0.3986254295532646,0.5597633136094675,0.6773648648648649,0.07479637862218907,0.0971350612769646,0.1232116788321168,0.06265727326477667,0.06642971875434193,0.07538429826932144,0.5703986672944151,0.9139362270216549,1.298589233613985,0.335725964236347,0.4439813679823486,0.5614740082079345
Retail (Special Lines),639,0.0007000000000000001,0.0721,0.155,-0.009647044568335218,0.03782201405152225,0.08824185893015768,1.500887614365697,2.505426167540544,4.034838709677418,0.08334712969165906,0.09029001074557207,0.09457671353344588,0.5911251536049448,0.9772468435876711,1.479778251691806,0.05705344641497018,0.2220438253318559,0.4742031533716246
Rubber& Tires,89,0.05019999999999999,0.125,0.174,0.03844705882352941,0.06650544135429262,0.09706373039706372,0.891178688112591,1.244804700250245,1.624813880548701,0.08322508029770886,0.09162938579178047,0.1050026281815768,0.6274517277099881,1.090171418590347,1.382051088903714,0.08250663899148378,0.2307692307692308,0.455307402258384
Semiconductor,647,-0.0273,0.0751,0.208,-0.1291711517761033,0.0160906696464203,0.1102148059371255,0.5772338482117424,0.9401733558817035,1.592168139721741,0.1245526186995488,0.1286472759959781,0.1300069104193769,1.135486957720453,1.58973516748928,2.210383202616889,0.004636922326004482,0.05124947056332062,0.1706295691674356
Semiconductor Equip,367,0.00831,0.125,0.254,0.01263736263736264,0.0966,0.18473828224609,0.7437503169210485,1.152439024390244,1.747187101264355,0.1391919158417226,0.1431843025082072,0.1470322636012131,1.299608294458068,1.959755909254536,2.57519029201263,0.009802950787206657,0.0654100751710984,0.1733181299885975
Shipbuilding & Marine,348,0.0488,0.116,0.19,0.06260683760683762,0.1457142857142857,0.2624039133473096,0.3166890195673854,0.5994261472419867,1.038228535617297,0.0817372818979578,0.08701513750796772,0.1048842958913875,0.4856970967857017,0.8676063939372943,1.336444131515537,0.08058646147447228,0.2547240480569283,0.4810030608519839
Shoe,85,-0.0205,0.08869999999999999,0.197,-0.03880232202871983,0.06935483870967742,0.1071902654867257,0.8096095764341992,1.337554412346656,1.829905243227271,0.08354653624791157,0.08679634157552522,0.1058361300461733,0.2618878745868504,0.8959411495857447,1.427592145866355,0.02522146951537259,0.131530837550503,0.3825658394619217
Software (Entertainment),317,0.00899,0.133,0.256,-0.2752542372881356,0.01695164404888381,0.1415770609318996,0.9122424722662439,2.549618320610687,5.799871390698038,0.1007463724299459,0.1085721408462354,0.1146544256520548,0.7619373205825695,1.308613687869716,1.785023602020636,0.003053405610149675,0.04132231404958678,0.1946710168569875
Software (Internet),151,0.0343,0.101,0.285,-0.231549815498155,-0.019433091842255,0.08696523096725624,0.5462653288740246,1.515500159795462,2.90003847078276,0.09637620564520535,0.1048327872776708,0.1096618806784429,0.7425337215659807,1.205698786213557,1.877224043441405,0.01783689040107228,0.088,0.2553191489361702
Software (System & Application),1616,0.0241,0.111,0.238,-0.3719806763285025,-0.02585185185185185,0.09610491289880603,0.7376570260005844,1.776787923781242,3.987234042553191,0.09744367380212228,0.1053022598065645,0.1106470044818328,0.689953200263927,1.157974733301631,1.734772861380218,0.002678529006509241,0.02940997381720757,0.1448164582492941
Steel,718,0.0704,0.145,0.243,-0.002836269875376021,0.04044057989798053,0.09827039133951347,0.8826742407690626,1.39622641509434,2.149019607843137,0.08792334520885384,0.09382442616800828,0.114034389437253,0.6168803328960546,1.144180935752917,1.614821422538262,0.04342190537913157,0.2336756002251175,0.4639865996649916
Telecom (Wireless),98,0.0177,0.0563,0.119,0.0414738929279577,0.1328736764343758,0.1947013817517415,0.5751724137931034,0.9761032594940925,1.698482215822086,0.06806752705099503,0.07453135609288289,0.08745880456011318,0.3560402567987587,0.7000595104520712,1.142183985941259,0.04674345367629924,0.2271125994868003,0.4126760226647859
